x1	y1	e1	x2	y2	e2
13.3	1.94E+02	2.15E+00	11.8	1.21E+02	4.46E+00
13.3	1.97E+02	2.15E+00	11.8	1.26E+02	4.47E+00
13.4	1.96E+02	2.16E+00	11.9	1.24E+02	4.48E+00
13.5	1.93E+02	2.15E+00	11.9	1.16E+02	4.41E+00
13.5	1.91E+02	2.14E+00	12	1.23E+02	4.50E+00
13.6	1.95E+02	2.14E+00	12.1	1.24E+02	4.44E+00
13.6	1.91E+02	2.16E+00	12.1	1.15E+02	4.47E+00
13.7	1.90E+02	2.14E+00	12.2	1.18E+02	4.37E+00
13.8	1.93E+02	2.17E+00	12.3	1.21E+02	4.53E+00
13.8	1.88E+02	2.13E+00	12.3	1.25E+02	4.48E+00
13.9	1.90E+02	2.15E+00	12.4	1.17E+02	4.46E+00
14	1.92E+02	2.14E+00	12.5	1.15E+02	4.48E+00
14	1.91E+02	2.17E+00	12.5	1.13E+02	4.38E+00
14.1	1.89E+02	2.13E+00	12.6	1.28E+02	4.60E+00
14.2	1.87E+02	2.14E+00	12.7	1.09E+02	4.34E+00
14.2	1.85E+02	2.12E+00	12.7	1.20E+02	4.49E+00
14.3	1.91E+02	2.14E+00	12.8	1.21E+02	4.44E+00
14.4	1.89E+02	2.14E+00	12.9	1.13E+02	4.46E+00
14.4	1.86E+02	2.14E+00	12.9	1.17E+02	4.48E+00
14.5	1.89E+02	2.14E+00	13	1.14E+02	4.47E+00
14.6	1.89E+02	2.14E+00	13.1	1.22E+02	4.52E+00
14.6	1.87E+02	2.15E+00	13.1	1.13E+02	4.41E+00
14.7	1.84E+02	2.12E+00	13.2	1.20E+02	4.54E+00
14.8	1.86E+02	2.15E+00	13.3	1.13E+02	4.43E+00
14.8	1.86E+02	2.13E+00	13.3	1.25E+02	4.60E+00
14.9	1.83E+02	2.13E+00	13.4	1.21E+02	4.48E+00
15	1.87E+02	2.14E+00	13.5	1.16E+02	4.47E+00
15	1.84E+02	2.14E+00	13.5	1.27E+02	4.59E+00
15.1	1.83E+02	2.14E+00	13.6	1.14E+02	4.45E+00
15.2	1.88E+02	2.15E+00	13.7	1.15E+02	4.48E+00
15.2	1.83E+02	2.14E+00	13.7	1.13E+02	4.41E+00
15.3	1.86E+02	2.15E+00	13.8	1.15E+02	4.50E+00
15.4	1.84E+02	2.12E+00	13.9	1.17E+02	4.46E+00
